original_fullcell,frequency,tokens_parsed,chosen_main_token,canonical_plural
"['fans (costume accessories)', 'fan; accessories carried; female', 'accessories carried']",6,fans; fan; accessories carried; female; accessories carried,accessories carried,accessories carrieds
"['bag; bags; accessories carried; female', 'bags', 'bags (containers)', 'accessories carried']",5,bag; bags; accessories carried; female; bags; bags; accessories carried,accessories carried,accessories carrieds
"['bags', 'bags (containers)', 'accessories carried', 'pocket book']",1,bags; bags; accessories carried; pocket book,accessories carried,accessories carrieds
"['bag; bags; accessories carried; female', 'bags', 'purses (bags)', 'accessories carried']",1,bag; bags; accessories carried; female; bags; purses; accessories carried,accessories carried,accessories carrieds
"['fan, fragment', 'fans (costume accessories)', 'accessories carried', 'fan, fragment; accessories carried; female']",1,"fan, fragment; fans; accessories carried; fan, fragment; accessories carried; female",accessories carried,accessories carrieds
"['wallets', 'bags', 'bags (containers)', 'accessories carried', 'wallet; bags; accessories carried; unknown']",1,wallets; bags; bags; accessories carried; wallet; bags; accessories carried; unknown,accessories carried,accessories carrieds
"['wallets', 'bags', 'accessories carried', 'wallet; bags; accessories carried; unknown']",1,wallets; bags; accessories carried; wallet; bags; accessories carried; unknown,accessories carried,accessories carrieds
"['bags', 'purse; purse, pocketbook; bags; accessories carried; female', 'purses (bags)', 'accessories carried']",1,"bags; purse; purse, pocketbook; bags; accessories carried; female; purses; accessories carried",accessories carried,accessories carrieds
"['handkerchief; accessories carried; female', 'handkerchiefs', 'accessories carried']",1,handkerchief; accessories carried; female; handkerchiefs; accessories carried,accessories carried,accessories carrieds
"['watch paper', 'watch paper; male', 'accessories for the care of clothing']",1,watch paper; watch paper; male; accessories for the care of clothing,accessories for the care of clothing,accessories for the care of clothings
['adze head'],1,adze head,adze head,adze heads
['ale bottle'],1,ale bottle,ale bottle,ale bottles
['almanacs'],3,almanacs,almanacs,almanacs
['amulets'],1,amulets,amulets,amulets
['anatomical print'],7,anatomical print,anatomical print,anatomical prints
['andiron'],19,andiron,andiron,andirons
"['andirons', 'andiron']",11,andirons; andiron,andiron,andirons
"['andirons', 'andiron', 'andirons']",1,andirons; andiron; andirons,andiron,andirons
"['andiron', 'andiron']",1,andiron; andiron,andiron,andirons
['announcement'],1,announcement,announcement,announcements
['application'],1,application,application,applications
"['apron, fraternal', 'apron, masonic']",2,"apron, fraternal; apron, masonic","apron, fraternal","apron, fraternals"
"['aprons (main garments)', 'apron; accessories worn on the body; female']",5,aprons; apron; accessories worn on the body; female,aprons,aprons
"['aprons (main garments)', 'props']",1,aprons; props,aprons,aprons
['aprons (main garments)'],1,aprons,aprons,aprons
['aquatints'],6,aquatints,aquatints,aquatints
['archival materials'],27,archival materials,archival materials,archival materials
"['chair; furniture; arm; windsor', 'armchairs']",2,chair; furniture; arm; windsor; armchairs,armchairs,chairs
['armchairs'],1,armchairs,armchairs,chairs
"['armchair; chair; furniture; arm', 'armchairs']",1,armchair; chair; furniture; arm; armchairs,armchairs,chairs
"[""artists' materials""]",8,artists' materials,artists' materials,artists' materials
['astrolabe'],6,astrolabe,astrolabe,astrolabes
['automaton'],1,automaton,automaton,automatons
"['axe; edged weapons; belt', 'axes (tools)']",1,axe; edged weapons; belt; axes,axes,axes
"['axe; camp', 'axes (tools)']",1,axe; camp; axes,axes,axes
['azimuth circle'],1,azimuth circle,azimuth circle,azimuth circles
['backstaff'],2,backstaff,backstaff,backstafves
"['badges', 'badge; award']",53,badges; badge; award,badges,badges
['badges'],6,badges,badges,badges
"['bag, salvage']",1,"bag, salvage","bag, salvage","bag, salvages"
['bagpipes'],4,bagpipes,bagpipes,bagpipes
['balances (scales)'],6,balances,balances,balances
"['balances (scales)', 'scale rule']",2,balances; scale rule,balances,balances
"['balances (scales)', 'hand balance']",1,balances; hand balance,balances,balances
"['weights', 'balances (scales)', 'balance set with weights']",1,weights; balances; balance set with weights,balances,balances
"['balance with weights', 'weights', 'balances (scales)']",1,balance with weights; weights; balances,balances,balances
"['balances (scales)', 'beam balance']",1,balances; beam balance,balances,balances
['ballot box'],1,ballot box,ballot box,ballot boxes
['banjos'],1,banjos,banjos,banjos
"['bank note; 1808 09 02', 'bank note']",1,bank note; 1808 09 02; bank note,bank note,bank notes
"['bank note', 'bank note; 1791 12 03']",1,bank note; bank note; 1791 12 03,bank note,bank notes
"['bank note; 1862 12 02', 'bank note']",1,bank note; 1862 12 02; bank note,bank note,bank notes
"['bank note', 'bank note; 1808 04 11']",1,bank note; bank note; 1808 04 11,bank note,bank notes
"['bank note; 1806 01 06', 'bank note']",1,bank note; 1806 01 06; bank note,bank note,bank notes
"['bank note; 1802 07 23', 'bank note']",1,bank note; 1802 07 23; bank note,bank note,bank notes
"['bank note; 1801 01 16', 'bank note']",1,bank note; 1801 01 16; bank note,bank note,bank notes
"['bank note; 1799 06 20', 'bank note']",1,bank note; 1799 06 20; bank note,bank note,bank notes
"['bank note', 'bank note; 1795 03 25']",1,bank note; bank note; 1795 03 25,bank note,bank notes
"['bank note; 1797 05 05', 'bank note']",1,bank note; 1797 05 05; bank note,bank note,bank notes
"['bank note; 1799 11 10', 'bank note']",1,bank note; 1799 11 10; bank note,bank note,bank notes
"['bank note; 1800 01 30', 'bank note']",1,bank note; 1800 01 30; bank note,bank note,bank notes
"['bank note', 'bank note; 1791 00 00']",1,bank note; bank note; 1791 00 00,bank note,bank notes
['bank note'],1,bank note,bank note,bank notes
['banners'],6,banners,banners,banners
['barrel organ'],1,barrel organ,barrel organ,barrel organs
['basins'],6,basins,basins,basins
"['basket, winnowing']",1,"basket, winnowing","basket, winnowing","basket, winnowings"
['baskets (containers)'],2,baskets,baskets,baskets
