object_type,previous_action,new_action
"['accessories for the care of clothing', 'boxes (containers)']","Contain, store & preserve",Other
"['accessories for the selling of clothing', 'boxes (containers)']","Contain, store & preserve",Other
"['albarello', 'jars', 'jar; pharmaceutical container']","Contain, store & preserve",Heal & care
"['albarello', 'jars']","Contain, store & preserve",Heal & care
['astrolabe'],Other,Measure & navigate
"['balances (scales)', 'beam balance']",Other,Measure & navigate
"['balances (scales)', 'hand balance']",Other,Measure & navigate
['balances (scales)'],Other,Measure & navigate
['ballot box'],"Contain, store & preserve",Other
"['bandages, lint', 'medicine chest', 'medicine chest']","Contain, store & preserve",Heal & care
"['bedstead', 'bedstead; furniture; cradle']",Other,Decorate & furnish
['blankets (coverings)'],Other,Decorate & furnish
"['booklets', 'booklet; documents']",Other,"Read, write & record"
"['bottle; jar; pharmaceutical container', 'jars']","Contain, store & preserve",Heal & care
"['bottles', 'jars', 'jar; bottle; pharmaceutical container']","Contain, store & preserve",Heal & care
"['bottles', 'jars', 'jar; pharmaceutical container']","Contain, store & preserve",Heal & care
"['bottles', 'jars']","Contain, store & preserve",Heal & care
"['bowl, tea', 'saucers (plates)']",Other,"Eat, cook & drink"
['box chronometer'],"Contain, store & preserve",Other
"['box, alms']","Contain, store & preserve",Other
"['box, candle']","Contain, store & preserve",Other
"['box, dough', 'dough trough table']","Contain, store & preserve","Eat, cook & drink"
"['box, snuff']","Contain, store & preserve",Other
"['box, stamp']","Contain, store & preserve",Other
"['box, wall', 'candle box; lighting accessories']","Contain, store & preserve",Other
"['box, wall']","Contain, store & preserve",Other
['boxes (containers)'],"Contain, store & preserve",Other
"['busk', 'busk; underwear; female']",Other,Dress & accessorize
"['busk', 'busk; upper body; underwear; female']",Other,Dress & accessorize
"['cabinets (case furniture)', 'counter with drawers, ancient pharmacy']","Contain, store & preserve",Decorate & furnish
['cabinets (case furniture)'],"Contain, store & preserve",Decorate & furnish
"['caddy, tea']","Contain, store & preserve","Eat, cook & drink"
"['calash', 'calash; headwear; accessories worn on the body; female']",Other,Dress & accessorize
"['canister, tea', 'canisters']","Contain, store & preserve",Other
"['carpet, fragment', 'picture, woven']",Other,Decorate & furnish
"['case; bloodletting instruments; spring lancet', 'bloodletting', 'spring lancet, bloodletting', 'lancet, set', 'cases (containers)']","Contain, store & preserve",Heal & care
"['cases (containers)', 'case; surgical set']","Contain, store & preserve",Heal & care
['cases (containers)'],"Contain, store & preserve",Other
"['ceramic jar', 'jar, olive, ceramic']","Contain, store & preserve",Other
"['chest of drawers', 'chests']","Contain, store & preserve",Other
"['chest, blanket', 'chest; furniture', 'chests']","Contain, store & preserve",Other
"['chest, blanket']","Contain, store & preserve",Other
"['chest; furniture', 'chests']","Contain, store & preserve",Other
"['chest; furniture', 'furniture', 'chests']","Contain, store & preserve",Other
['chests'],"Contain, store & preserve",Other
"['chronometer', 'pocket chronometer movement & dial; chronometer; mechanical, spring driven; english chronometer movement']",Other,Measure & navigate
['churns'],Other,"Eat, cook & drink"
"['cooler, wine']",Other,"Eat, cook & drink"
"['cuff links', 'cuff links', 'cuff links; jewelry; accessories worn on the body; male']",Other,Dress & accessorize
"['cuffs, pair of', 'cuffs, pair of; armwear; accessories worn on the body; female']",Other,Dress & accessorize
"['cutlass; edged weapons; navy', 'cutlasses']",Other,Fight
"['cutlasses', 'cutlass; edged weapons; navy; enlisted man']",Other,Fight
"['dickey; neckwear; accessories worn on the body; male', 'dickeys']",Other,Dress & accessorize
"['dippers (serving utensils)', 'cup, drinking']",Other,"Eat, cook & drink"
['dippers (serving utensils)'],Other,"Eat, cook & drink"
['dispatch case'],"Contain, store & preserve",Other
"['ecuelle', 'ecuelle stand', 'ecuelle cover', 'stand']",Other,"Eat, cook & drink"
['electoral ticket'],Other,Perform music
['field telescope and case'],"Contain, store & preserve",Other
"['flag, fragment of', 'flag, fragment of; military; army; rgt, 9 virginia continental']",,Commemorate & symbolize
['flagon'],Other,"Eat, cook & drink"
"['flask; jar; pharmaceutical container', 'jars']","Contain, store & preserve",Heal & care
"['flask; pharmaceutical container', 'flasks (bottles)', 'jars']","Contain, store & preserve",Heal & care
"['food warmer', 'infant feeder']",Other,"Eat, cook & drink"
"['gaiters, pair of; footwear; accessories worn on the body; male', 'gaiters, pair of']",Other,Dress & accessorize
"['grater, potato; kitchen utensils', 'graters']",Other,"Eat, cook & drink"
['graters'],Other,"Eat, cook & drink"
['hanging balance (beam)'],Other,Measure & navigate
['highchair'],Other,Decorate & furnish
"['housewife', 'needlework kit']",Other,Textile making
"['husker, corn']",Other,"Eat, cook & drink"
"['invitation', 'invitation; manuscript, printed']",Other,"Read, write & record"
"['jar, apothecary, syrup']","Contain, store & preserve",Heal & care
"['jar, butter', 'butter jar', 'jars']","Contain, store & preserve","Eat, cook & drink"
"['jar, leech, apothecary', 'leech jar; materia medica; containers', 'leech jars']","Contain, store & preserve",Heal & care
"['jar; bottle; pharmaceutical container', 'jars']","Contain, store & preserve",Heal & care
"['jar; pharmaceutical container', 'jars']","Contain, store & preserve",Heal & care
"['jar; pharmaceutical container; syrup', 'jars']","Contain, store & preserve",Heal & care
"['jar; pharmaceuticals; containers; pharmaceutical container', 'jars']","Contain, store & preserve",Heal & care
"['jars', 'bottle; jar; pharmaceutical container']","Contain, store & preserve",Heal & care
"['jars', 'jar, albarello', 'jar; pharmaceutical container']","Contain, store & preserve",Heal & care
"['jars', 'jar, albarello']","Contain, store & preserve",Heal & care
"['jars', 'jar; bottle; pharmaceutical container']","Contain, store & preserve",Heal & care
"['jars', 'jar; pharmaceutical container']","Contain, store & preserve",Heal & care
"['jars', 'pharmaceutical container']","Contain, store & preserve",Heal & care
['jars'],"Contain, store & preserve",Heal & care
"['masher, potato', 'potato masher; kitchen utensils']",Other,"Eat, cook & drink"
"['masher, potato']",Other,"Eat, cook & drink"
"['medicine chest', 'medical chest']","Contain, store & preserve",Heal & care
"['medicine chest; medicine case', 'medicine case', 'medicine chest']","Contain, store & preserve",Heal & care
