original_label,canonical_type_manual
"['albarello', 'jars', 'jar; pharmaceutical container']","jars, pharmaceutical containers"
"['albarello', 'jars']","jars, pharmaceutical containers"
"['bottle; jar; pharmaceutical container', 'jars']","jars, pharmaceutical containers"
"['bottles', 'jars', 'jar; bottle; pharmaceutical container']","jars, pharmaceutical containers"
"['bottles', 'jars', 'jar; pharmaceutical container']","jars, pharmaceutical containers"
"['bottles', 'jars']","jars, pharmaceutical containers"
"['box, dough', 'dough trough table']","box, dough"
"['caddy, tea']","caddies, tea"
"['case; bloodletting instruments; spring lancet', 'bloodletting', 'spring lancet, bloodletting', 'lancet, set', 'cases (containers)']",bloodlettings
"['cases (containers)', 'case; surgical set']","case, surgical set"
"['cuffs, pair of', 'cuffs, pair of; armwear; accessories worn on the body; female']","cuffs, pair of"
"['epaulets, pair of', 'epaulets, pair of; insignia; army; holder, epaulet; officer', 'epaulettes, pair of']","epaulets, pair of"
"['fabric, printed']","fabric, printed"
"['flag, fragment of', 'flag, fragment of; military; army; rgt, 9 virginia continental']","flag, fragment of"
"['flask; jar; pharmaceutical container', 'jars']","jars, pharmaceutical containers"
"['flask; pharmaceutical container', 'flasks (bottles)', 'jars']","jars, pharmaceutical containers"
"['housewife', 'needlework kit']",needlework kit
"['jar, butter', 'butter jar', 'jars']",butter jars
"['jar; bottle; pharmaceutical container', 'jars']","jars, pharmaceutical containers"
"['jar; pharmaceutical container', 'jars']","jars, pharmaceutical containers"
"['jar; pharmaceutical container; syrup', 'jars']","jars, pharmaceutical containers"
"['jar; pharmaceuticals; containers; pharmaceutical container', 'jars']","jars, pharmaceutical containers"
"['jars', 'bottle; jar; pharmaceutical container']","jars, pharmaceutical containers"
"['jars', 'jar, albarello', 'jar; pharmaceutical container']","jars, pharmaceutical containers"
"['jars', 'jar, albarello']","jars, pharmaceutical containers"
"['jars', 'jar; bottle; pharmaceutical container']","jars, pharmaceutical containers"
"['jars', 'jar; pharmaceutical container']","jars, pharmaceutical containers"
"['jars', 'pharmaceutical container']","jars, pharmaceutical containers"
['jars'],"jars, pharmaceutical containers"
"['medicine', 'syrup jar', 'jars', 'jar; pharmaceutical container']","jars, pharmaceutical containers"
"['pan, baking']","pan, baking"
"['photographs, set of']","photographs, set of"
"['pitchers (vessels)', 'jars']","jars, pharmaceutical containers"
['sheet music'],sheet music
"['sheets, set of']","sheets, set of"
"['syrup jar', 'jar; pharmaceutical container', 'jars']","jars, pharmaceutical containers"
"['syrup jar', 'jar; pharmaceutical container']","jars, pharmaceutical containers"
"['syrup jar', 'jars']","jars, pharmaceutical containers"
"['syrup jar', 'syrup jar', 'jars']","jars, pharmaceutical containers"
"['syrup jar, pitcher', 'jars']","jars, pharmaceutical containers"
"['undersleeves, pair of', 'undersleeves, pair of; armwear; accessories worn on the body; female']","undersleeves, pair of"
