EDANurl,object_types_str,canonical_type_auto,action_family_auto,canonical_type_manual,action_family_manual
edanmdm:npm_2025.2004.10,['mail processing equipment'],mail processing equipments,Other,mail processing equipments,"Read, write & record"
edanmdm:npm_2024.2004.5.2,['works of art'],works of arts,Other,works of arts,"Portray, display & decorate"
edanmdm:npm_2024.2004.2,['works of art'],works of arts,Other,works of arts,"Portray, display & decorate"
edanmdm:npm_1986.0913.1,['works of art'],works of arts,Other,works of arts,"Portray, display & decorate"
edanmdm:npm_0.283371.5,['works of art'],works of arts,Other,works of arts,"Portray, display & decorate"
edanmdm:npm_0.283371.3,['works of art'],works of arts,Other,works of arts,"Portray, display & decorate"
edanmdm:npm_0.283371.1,['works of art'],works of arts,Other,works of arts,"Portray, display & decorate"
edanmdm:npg_AD_NPG.77.5,['periodicals'],periodicals,Other,periodicals,"Read, write & record"
edanmdm:nmah_999249,['pestles'],pestles,Other,pestles,Heal & care
edanmdm:nmah_999233,['pestles'],pestles,Other,pestles,Heal & care
edanmdm:nmah_998380,"['bandages, lint', 'medicine chest', 'medicine chest']",medicine chests,"Contain, store & preserve",medicine chests,Heal & care
edanmdm:nmah_997145,['astrolabe'],astrolabes,Other,astrolabes,Measure & navigate
edanmdm:nmah_997142,['astrolabe'],astrolabes,Other,astrolabes,Measure & navigate
edanmdm:nmah_997135,['astrolabe'],astrolabes,Other,astrolabes,Measure & navigate
edanmdm:nmah_997061,['astrolabe'],astrolabes,Other,astrolabes,Measure & navigate
edanmdm:nmah_997059,['astrolabe'],astrolabes,Other,astrolabes,Measure & navigate
edanmdm:nmah_997058,['astrolabe'],astrolabes,Other,astrolabes,Measure & navigate
edanmdm:nmah_994577,['balances (scales)'],balances,Other,balances,Measure & navigate
edanmdm:nmah_994574,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994573,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994572,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994543,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994542,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
