EDANurl,object_types_str,canonical_type_auto,action_family_auto,canonical_type_manual,action_family_manual
edanmdm:nmah_994435,['boxes (containers)'],boxes (containers),Heal & care,boxes,Smoke
edanmdm:nmah_994346,"['magnifying glasses', 'microscope, hand held, set']",magnifying glasses,"Eat, cook & drink",magnifying glasses,Heal & care
edanmdm:nmah_969593,"['cross, rounded', 'cross, rounded; historical']","cross, roundeds",Worship,crosses,Worship
edanmdm:nmah_969592,"['cross, rounded', 'cross, rounded; historical']","cross, roundeds",Worship,crosses,Worship
edanmdm:nmah_857426,"['flag, revolutionary war']","flag, revolutionary wars",Commemorate & symbolize,flags,Commemorate & symbolize
edanmdm:nmah_857425,"['flag, revolutionary war']","flag, revolutionary wars",Commemorate & symbolize,flags,Commemorate & symbolize
edanmdm:nmah_857424,"['flag, revolutionary war']","flag, revolutionary wars",Commemorate & symbolize,flags,Commemorate & symbolize
edanmdm:nmah_808115,"['sheet (paper)', 'sheet (paper); manuscript', 'sheet (paper)', 'manuscripts']",music transcripts,"Read, write & record",manuscripts,"Read, write & record"
edanmdm:nmah_747293,['surveying instruments'],surveying instruments,Perform music,surveying instruments,Measure & navigate
edanmdm:nmah_747273,"['compasses (direction indicators)', 'surveying instruments']",surveying instruments,Perform music,surveying instruments,Measure & navigate
edanmdm:nmah_747173,['surveying instruments'],surveying instruments,Perform music,surveying instruments,Measure & navigate
edanmdm:nmah_747153,['surveying instruments'],surveying instruments,Perform music,surveying instruments,Measure & navigate
edanmdm:nmah_747113,['surveying instruments'],surveying instruments,Perform music,surveying instruments,Measure & navigate
edanmdm:nmah_745644,['surveying instruments'],surveying instruments,Perform music,surveying instruments,Measure & navigate
edanmdm:nmah_678236,"['fabric length, knitted', 'fabric; knitted']",fabric fragments,Other,fabric fragments,Textile making
edanmdm:nmah_662016,"['signs (declaratory or advertising artifacts)', 'shop signs']",shop signs,Commemorate & symbolize,shop signs,Other
edanmdm:nmah_662010,['shop signs'],shop signs,Commemorate & symbolize,shop signs,Other
