canonical_type,count_by_canontype,action_family,multi_action
pistols,56,Fight,FALSE
muskets,42,Fight,FALSE
swords,17,Fight,FALSE
bows,12,Fight,FALSE
rifles,10,Fight,FALSE
bayonets,9,Fight,FALSE
"shotgun, flintlocks",4,Fight,FALSE
sabers,4,Fight,FALSE
"musket, flintlocks",3,Fight,FALSE
"scabbard, bayonets",2,Fight,FALSE
powder horns,1,Fight,FALSE
"cannon, revolutionary wars",1,Fight,FALSE
maul clubs,1,Fight,FALSE
"grenade; ammunition, artillery; hands",1,Fight,FALSE
pistol swords,1,Fight,FALSE
"launcher, grenades",1,Fight,FALSE
mace; edged weapons,1,Fight,FALSE
"saber, dragoons",1,Fight,FALSE
gun; firearms; miquelet; .69 in; smooth bore; muzzle load; sa; ps,1,Fight,FALSE
medals,247,Commemorate & symbolize,FALSE
badges,59,Commemorate & symbolize,FALSE
calendar medals,2,Commemorate & symbolize,FALSE
medal; personal; commemoratives,1,Commemorate & symbolize,FALSE
"medal, politicals",1,Commemorate & symbolize,FALSE
clock movement in wooden cases,1,Decorate & furnish,TRUE
"clock movement, tall cases",1,Decorate & furnish,TRUE
tall case clocks,1,Decorate & furnish,TRUE
"clock, cases",1,Decorate & furnish,TRUE
sewing cases,1,Textile making,TRUE
box chronometer without cases,1,Other,TRUE
book with boxes,1,Other,TRUE
cigarette boxes,1,Smoke,TRUE
jars,286,"Contain, store & preserve",FALSE
boxes,11,"Contain, store & preserve",FALSE
syrup jars,9,"Contain, store & preserve",FALSE
chests,9,"Contain, store & preserve",FALSE
jar; pharmaceutical containers,7,"Contain, store & preserve",FALSE
cases,6,"Contain, store & preserve",FALSE
cabinets,5,"Contain, store & preserve",FALSE
"caddy, teas",3,"Contain, store & preserve",FALSE
medicine chests,3,"Contain, store & preserve",FALSE
"box, snufves",3,"Contain, store & preserve",FALSE
"jar, leech, apothecaries",2,"Contain, store & preserve",FALSE
field telescope and cases,2,"Contain, store & preserve",FALSE
"box, walls",2,"Contain, store & preserve",FALSE
"box, candles",2,"Contain, store & preserve",FALSE
type cases,2,"Contain, store & preserve",FALSE
trunks,2,"Contain, store & preserve",FALSE
"jar, apothecary, syrups",2,"Contain, store & preserve",FALSE
"box, alms",1,"Contain, store & preserve",FALSE
"canister, teas",1,"Contain, store & preserve",FALSE
"box, doughs",1,"Contain, store & preserve",FALSE
box chronometers,1,"Contain, store & preserve",FALSE
ceramic jars,1,"Contain, store & preserve",FALSE
oyster jars,1,"Contain, store & preserve",FALSE
vial; containers,1,"Contain, store & preserve",FALSE
"chest, blankets",1,"Contain, store & preserve",FALSE
dispatch cases,1,"Contain, store & preserve",FALSE
"box, stamps",1,"Contain, store & preserve",FALSE
ballot boxes,1,"Contain, store & preserve",FALSE
striker boxes,1,"Contain, store & preserve",FALSE
"chair, sides",36,Decorate & furnish,FALSE
andirons,32,Decorate & furnish,FALSE
bed coverings,23,Decorate & furnish,FALSE
mirrors,14,Decorate & furnish,TRUE
chairs,10,Decorate & furnish,FALSE
clocks,7,Decorate & furnish,TRUE
"pan, close stools",4,Decorate & furnish,FALSE
tables,4,Decorate & furnish,FALSE
"chair, rockings",4,Decorate & furnish,FALSE
armchairs,4,Decorate & furnish,FALSE
"bed valance, printeds",3,Decorate & furnish,FALSE
lamps,3,Decorate & furnish,FALSE
shelves,3,Decorate & furnish,FALSE
desks,3,Decorate & furnish,FALSE
chair; furniture; arms,2,Decorate & furnish,TRUE
