Unnamed: 0,collectionsURL,unitCode,EDANurl,title,creditLine,date,identifier,name,notes,objectType,physicalDescription,materials,main_material,place,publisher,topic,indexed_dates,indexed_names,indexed_object_types,indexed_places,indexed_topics,mediaCount,mediaURLs,thumbnail,object_types_list,object_types_norm,object_types_str,canonical_type,action_family,multi_action
133,https://collections.si.edu/search/detail/edanmdm:saam_1972.85.17A,SAAM,edanmdm:saam_1972.85.17A,A Map of the Most Inhabited Part of Virginia,"{""Credit Line"": ""Smithsonian American Art Museum, Museum purchase""}","{""Date"": ""1775""}","{""Object number"": ""1972.85.17A""}","{""Artist"": ""Thomas Jeffreys, British, n.d."", ""Copy after"": ""Joshua Fry, born Somersetshire, England ca. 1700-died Fort Cumberland, MD 1754\nPeter Jefferson, born Richmond, VA 1708-died Albemarle County, VA 1757""}",,"{""Type"": ""Graphic Arts-Print""}","{""Medium"": ""engraving and hand-colored etching"", ""Dimensions"": ""15 5/8 x 47 7/8 in. (39.7 x 121.6 cm)""}",,Unknown,,,"{""Topic"": ""Landscape\\Maryland\nLandscape\\Virginia\nObject\\written matter\\map""}","[""1770s""]","[""Jefferson, Peter"", ""Jeffreys, Thomas"", ""Fry, Joshua""]","[""Graphic arts"", ""Maps""]","[""Maryland"", ""Virginia""]","[""Landscapes""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1972.85.17A_1""]","https://ids.si.edu/ids/iiif/SAAM-1972.85.17A_1/full/250,/0/default.jpg","['Graphic arts', 'Maps']","['graphic arts', 'maps']","['graphic arts', 'maps']",maps,"Read, write & record",False
157,https://collections.si.edu/search/detail/edanmdm:saam_1966.48.92,SAAM,edanmdm:saam_1966.48.92,The Atlantic Ocean (map),,"{""Date"": ""1788""}","{""Object number"": ""1966.48.92""}","{""Artist"": ""Thomas Pownall, English, born Lincoln, England 1722-died Bath, England 1805; active USA 1753-176""}",,"{""Type"": ""Graphic Arts-Print""}","{""Medium"": ""engraving""}",,Unknown,,,"{""Topic"": ""Waterscape\\sea\\Atlantic Ocean\nObject\\written matter\\map""}","[""1780s""]","[""Pownall, Thomas""]","[""Graphic arts"", ""Maps""]","[""Atlantic Ocean""]","[""Waterscapes"", ""Sea""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1966.48.92_1""]","https://ids.si.edu/ids/iiif/SAAM-1966.48.92_1/full/250,/0/default.jpg","['Graphic arts', 'Maps']","['graphic arts', 'maps']","['graphic arts', 'maps']",maps,"Read, write & record",False
360,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.9,NPM,edanmdm:npm_2025.2004.9,Postmaster's bill from Philadelphia post office,,"{""Date"": ""June 5, 1773""}","{""Object number"": ""2025.2004.9""}",,"{""Description"": ""Postmaster\u2019s bill printed for use with dispatches from Philadelphia Post Office were for the receiving office to check the incoming mail against. This record was for three letters (one at the single sheet and two at the double sheet rate) that travelled without postage paid to Newport, Rhode Island (location noted on top right and reverse). The form is signed dated at the bottom right.""}","{""Type"": ""Mail Processing Equipment""}","{""Medium"": ""paper; ink; wax"", ""Dimensions"": ""Height x Width: 3 7/8 \u00d7 9 1/4 in. (9.84 \u00d7 23.5 cm)""}",paper,paper,"{""Place"": ""Pennsylvania\nRhode Island\nUnited States of America""}",,,"[""1770s""]",,"[""Mail Processing Equipment""]","[""Rhode Island"", ""United States of America"", ""Pennsylvania""]",,2,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_9_b"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_9_c""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_9_b/full/250,/0/default.jpg",['Mail Processing Equipment'],['mail processing equipment'],['mail processing equipment'],mail processing equipments,"Read, write & record",False
361,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.8,NPM,edanmdm:npm_2025.2004.8,Postmaster's accounting notes,,"{""Date"": ""March 31, 1814""}","{""Object number"": ""2025.2004.8""}",,"{""Description"": ""This remnant sheet of paper has writing on both sides with accounting by Postmaster Levi Bartlett. It includes \""A list of letters remaining in the Post Office at Kingston NH March 31st 1814\"", and on reverse Bartlett handwrote the \""Quarterly Acct. of the Post Office at Kingston NH ending March 31st 1814,\"" which was typically done on a printed form.""}","{""Type"": ""Mail Processing Equipment""}","{""Medium"": ""paper; ink"", ""Dimensions"": ""Height x Width: 9 1/2 \u00d7 11 in. (24.13 \u00d7 27.94 cm)""}",paper,paper,"{""Place"": ""New Hampshire\nUnited States of America""}",,,"[""1810s""]",,"[""Mail Processing Equipment""]","[""United States of America"", ""New Hampshire""]",,2,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_8_b"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_8_c""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_8_b/full/250,/0/default.jpg",['Mail Processing Equipment'],['mail processing equipment'],['mail processing equipment'],mail processing equipments,"Read, write & record",False
362,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.7,NPM,edanmdm:npm_2025.2004.7,Post office bill of quarterly returns,,"{""Date"": ""January 1,1813 - March 31, 1813""}","{""Object number"": ""2025.2004.7""}",,"{""Description"": ""This bill of quarterly returns of the Post Office at Kingston in the county of Rockingham, New Hampshire, is dated January 1, 1813, to March 31, 1813. Postmaster Levi Bartlett wrote out the list of forms he prepared for the quarter.""}","{""Type"": ""Mail Processing Equipment""}","{""Medium"": ""paper; ink"", ""Dimensions"": ""Height x Width: 7 3/4 \u00d7 7 1/4 in. (19.69 \u00d7 18.42 cm)""}",paper,paper,"{""Place"": ""New Hampshire\nUnited States of America""}",,,"[""1810s""]",,"[""Mail Processing Equipment""]","[""United States of America"", ""New Hampshire""]",,2,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_7_b"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_7_c""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_7_b/full/250,/0/default.jpg",['Mail Processing Equipment'],['mail processing equipment'],['mail processing equipment'],mail processing equipments,"Read, write & record",False
363,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.6,NPM,edanmdm:npm_2025.2004.6,Post office quarterly account form,,"{""Date"": ""January 1, 1798 - April 1,1798""}","{""Object number"": ""2025.2004.6""}",,"{""Description"": ""This is a completed quarterly account form of the Kingston, NH, post office under the management of Postmaster Levi Bartlett, whose signature is at the bottom. This quarterly account is dated to January 1, 1798, to April 1, 1798. There is a note written in ink on the back that reads: \""No. 2nd.\""""}","{""Type"": ""Mail Processing Equipment""}","{""Medium"": ""paper; ink"", ""Dimensions"": ""Height x Width (each page): 6 3/4 \u00d7 16 1/4 in. (17.15 \u00d7 41.28 cm)""}",paper,paper,"{""Place"": ""New Hampshire\nUnited States of America""}",,,"[""1790s""]",,"[""Mail Processing Equipment""]","[""United States of America"", ""New Hampshire""]",,2,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_6_a"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_6_b""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_6_a/full/250,/0/default.jpg",['Mail Processing Equipment'],['mail processing equipment'],['mail processing equipment'],mail processing equipments,"Read, write & record",False
364,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.5,NPM,edanmdm:npm_2025.2004.5,Philadelphia Aurora newspaper,,"{""Date"": ""April 4, 1810""}","{""Object number"": ""2025.2004.5""}",,"{""Description"": ""An issue of the Philadelphia Aurora newspaper, dated April 4th, 1810. It includes a list of letters arrived in Philadelphia, PA, post office.""}","{""Type"": ""Covers & Associated Letters""}","{""Medium"": ""paper; ink"", ""Dimensions"": ""Height x Width: 21 \u00d7 13 1/2 in. (53.34 \u00d7 34.29 cm)""}",paper,paper,"{""Place"": ""Pennsylvania\nUnited States of America""}",,,,,"[""Correspondence"", ""Covers & letters""]","[""United States of America"", ""Pennsylvania""]",,2,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_5_a"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_5_b""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_5_a/full/250,/0/default.jpg","['Correspondence', 'Covers & letters']","['correspondence', 'covers & letters']","['correspondence', 'covers & letters']",newspapers,"Read, write & record",False
365,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.4,NPM,edanmdm:npm_2025.2004.4,Story and Humphreys's Pennsylvania Mercury and Universal Advertiser newspaper,,"{""Date"": ""October 27, 1775""}","{""Object number"": ""2025.2004.4""}",,"{""Description"": ""Story and Humphreys's Pennsylvania Mercury and Universal Advertiser newspaper, Vol. 1, No. [?], Friday, October 27, 1775; two pages printed front and back. Illustration of \""Philadelphia and New York Stage Coaches\""; reprints of letters; marginalia; loyalist newspaper during American Revolution""}","{""Type"": ""Covers & Associated Letters""}","{""Medium"": ""paper; ink"", ""Dimensions"": ""Height x Width (each page): 17 \u00d7 10 1/4 in. (43.18 \u00d7 26.04 cm)""}",paper,paper,"{""Place"": ""Pennsylvania\nUnited States of America""}",,,,,"[""Correspondence"", ""Covers & letters""]","[""United States of America"", ""Pennsylvania""]",,2,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_4_a"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_4_b""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_4_a/full/250,/0/default.jpg","['Correspondence', 'Covers & letters']","['correspondence', 'covers & letters']","['correspondence', 'covers & letters']",newspapers,"Read, write & record",False
366,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.3,NPM,edanmdm:npm_2025.2004.3,"The Providence Gazette, and Country Journal newspaper",,"{""Date"": ""1791""}","{""Object number"": ""2025.2004.3""}",,"{""Description"": ""An issue of The Providence Gazette, and Country Journal, dating to 1791. It includes an article by Ebenezer Hazard, letter extracts, and was published at a post office.""}","{""Type"": ""Covers & Associated Letters""}","{""Medium"": ""paper; ink"", ""Dimensions"": ""Height x Width (unfolded): 15 \u00d7 21 in. (38.1 \u00d7 53.34 cm)""}",paper,paper,"{""Place"": ""Rhode Island\nUnited States of America""}",,,,,"[""Correspondence"", ""Covers & letters""]","[""Rhode Island"", ""United States of America""]",,2,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_3_a"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_3_b""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_3_a/full/250,/0/default.jpg","['Correspondence', 'Covers & letters']","['correspondence', 'covers & letters']","['correspondence', 'covers & letters']",newspapers,"Read, write & record",False
367,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.20,NPM,edanmdm:npm_2025.2004.20,Folded letter from George Prescott to Charles Potter,,"{""Date"": ""February 4, 1815""}","{""Object number"": ""2025.2004.20""}",,"{""Description"": ""folded letter from George Prescott to Charles Potter, February 4, 1815; handwritten on front \""Charles Potter Esq. / Providence / R.I.\""""}","{""Type"": ""Covers & Associated Letters""}","{""Medium"": ""paper; ink (black)"", ""Dimensions"": ""Height x Width: 3 \u00d7 5 7/8 in. (7.62 \u00d7 14.92 cm)""}",paper,paper,"{""Place"": ""Rhode Island\nUnited States of America""}",,,"[""1810s""]",,"[""Correspondence"", ""Covers & letters""]","[""Rhode Island"", ""United States of America""]",,6,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_20_b"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_20_a"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_20_c"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_20_d"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_20_e"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_20_f""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_20_b/full/250,/0/default.jpg","['Correspondence', 'Covers & letters']","['correspondence', 'covers & letters']","['correspondence', 'covers & letters']",correspondences,"Read, write & record",False
