canonical_type,suggested_canonical,changed_flag,object_types_list,objectType,physicalDescription
accessories carrieds,accessories carrieds,False,"['Fans (costume accessories)', 'Fan; Accessories Carried; Female', 'Accessories Carried']","{""Object Name"": ""Fan"", ""Object Type"": ""Accessories Carried\nWoman\nFan"", ""Other Terms"": ""Fan; Accessories Carried; Female""}","{""Measurements"": ""overall: 9 3/8 in x 12 in; 23.8125 cm x 30.48 cm""}"
accessories for the care of clothings,accessories for the care of clothings,False,"['Watch Paper', 'Watch Paper; Male', 'Accessories for the Care of Clothing']","{""Object Name"": ""Watch Paper"", ""Object Type"": ""Accessories for the Care of Clothing"", ""Other Terms"": ""Watch Paper; Male""}","{""Measurements"": ""overall: 1 3/4 in; x 4.445 cm""}"
adze heads,adze heads,False,['Adze Head'],"{""Object Name"": ""Adze Head""}","{""Physical Description"": ""metal, iron (overall material)\nhand-wrought (overall production method/technique)"", ""Measurements"": ""overall: 7 1/4 in x 3 in x 3 in; 18.415 cm x 7.62 cm x 7.62 cm""}"
ale bottles,ale bottles,False,['ale bottle'],"{""Object Name"": ""ale bottle""}","{""Physical Description"": ""glass (overall material)"", ""Measurements"": ""overall: 9 in x 2 1/2 in; 22.86 cm x 6.35 cm""}"
almanacs,almanacs,False,['Almanacs'],"{""Object Name"": ""almanac""}","{""Physical Description"": ""paper (overall material)"", ""Measurements"": ""overall: 17.3 cm x 10.3 cm x .15 cm; 6 13/16 in x 4 1/16 in x 1/16 in""}"
amulets,amulets,False,['Amulets'],"{""Object Name"": ""Amulet""}","{""Physical Description"": ""metal, copper (overall material)"", ""Measurements"": ""overall: 1 1/8 in; x 2.8575 cm""}"
anatomical prints,anatomical prints,False,['anatomical print'],"{""Object Name"": ""anatomical print""}","{""Physical Description"": ""paper (overall material)"", ""Measurements"": ""overall: 60.5 cm x 44.7 cm; 23 13/16 in x 17 19/32 in""}"
andirons,andirons,False,['andiron'],"{""Object Name"": ""andiron""}","{""Physical Description"": ""iron, wrought (upright, legs, billet bar material)\nbrass (finial, support block material)"", ""Measurements"": ""overall: 15 3/8 in x 12 in x 18 3/4 in; 39.0525 cm x 30.48 cm x 47.625 cm""}"
announcements,announcements,False,['Announcement'],"{""Object Name"": ""Announcement""}","{""Physical Description"": ""ink (overall material)\npaper (overall material)"", ""Measurements"": ""overall: 16 1/2 in x 13 1/8 in; 41.91 cm x 33.3375 cm""}"
applications,applications,False,['Application'],"{""Object Name"": ""Application""}","{""Measurements"": ""overall: 12 3/8 in x 7 7/8 in; 31.4325 cm x 20.0025 cm""}"
"apron, fraternals","apron, fraternals",False,"['apron, fraternal', 'apron, Masonic']","{""Object Name"": ""apron, fraternal\napron, Masonic""}","{""Physical Description"": ""leather (overall material)\nsilk (overall material)"", ""Measurements"": ""overall: 11 in x 13 5/8 in; 27.94 cm x 34.6075 cm""}"
aprons,aprons,False,['Aprons (main garments)'],"{""Object Name"": ""Apron""}","{""Physical Description"": ""silk (overall material)\npaint (overall material)"", ""Measurements"": ""overall: 18 in x 17 1/2 in; 45.72 cm x 44.45 cm""}"
aquatints,aquatints,False,['Aquatints'],"{""Object Name"": ""aquatint"", ""Object Type"": ""Aquatint""}","{""Physical Description"": ""paper (overall material)\nink (overall material)"", ""Measurements"": ""image: 8 1/4 in x 10 1/2 in; 20.955 cm x 26.67 cm""}"
archival materials,archival materials,False,['Archival materials'],"{""Type"": ""Archival Material""}","{""Medium"": ""Paper (blue on beige); metal (lead); ink; pencil / handwritten"", ""Dimensions"": ""Height x Width: 2 1/2 \u00d7 1 3/4 in. (6.35 \u00d7 4.45 cm)""}"
artists' materials,artists' materials,False,"[""Artists' materials""]","{""Type"": ""Art Implement""}","{""Medium"": ""Copper plate"", ""Dimensions"": ""Plate: 8 x 6.7cm (3 1/8 x 2 5/8\"")""}"
astrolabes,astrolabes,False,['astrolabe'],"{""Object Name"": ""astrolabe""}","{""Physical Description"": ""brass (overall material)"", ""Measurements"": ""overall: 16.8 cm x 10 cm x 3.3 cm; 6 5/8 in x 3 15/16 in x 1 5/16 in""}"
automatons,automatons,False,['Automaton'],"{""Object Name"": ""Automaton""}","{""Measurements"": ""overall - automaton: 15 1/2 in x 11 1/8 in x 7 3/8 in; 39.37 cm x 28.2575 cm x 18.7325 cm\noverall - prayer book: 1 1/8 in x 7/8 in x 3/4 in; 2.8575 cm x 2.2225 cm x 1.905 cm\noverall - chain: 4 1/8 in x 1/2 in x 1/8 in; 10.4775 cm x 1.27 cm x .3175 cm\noverall - from catalog card: 16 in x 7 in x 11 in; 40.64 cm x 17.78 cm x 27.94 cm\nmonk - from catalog card: 4 1/2 in; 11.43 cm\nprayer book - from catalog card: 1 1/8 in x 7/8 in; 2.8575 cm x 2.2225 cm""}"
axes,axes,False,"['Axe; Edged Weapons; Belt', 'Axes (tools)']","{""Object Name"": ""Axe\naxe"", ""Other Terms"": ""Axe; Edged Weapons; Belt""}","{""Measurements"": ""overall, axe: 1 3/8 in x 5 1/2 in x 14 3/8 in; 3.4925 cm x 13.97 cm x 36.5125 cm""}"
