,count,count
0,['note'],2470
1,['silhouettes'],1845
2,['prints'],1422
3,['coins (money)'],1075
4,['paintings'],297
5,"['spoons', 'flatware']",191
6,['medals'],170
7,"['bottles', 'bottle; pharmaceutical container']",145
8,['decorative arts'],114
9,"['jars', 'jar; pharmaceutical container']",111
10,"['sheet (paper); manuscript', 'correspondence']",95
11,['jars'],87
12,"['correspondence', 'covers & letters']",84
13,"['engravings (prints)', 'prints']",82
14,['books'],71
15,['posters'],60
16,"['badges', 'badge; award']",53
17,['uncut sheet'],52
18,"['exterior views', 'prints']",48
19,"['maps', 'prints']",47
20,['pianos'],43
21,['quilts'],40
22,['fire mark'],40
23,['drawings'],40
24,"['coins (money)', 'tokens']",39
25,"['note', 'paper money']",35
26,['plate'],33
27,"['jar; pharmaceutical container', 'jars']",32
28,['newspapers'],31
29,"['engravings (prints)', 'print; intaglio; engraving', 'prints']",30
30,"['fashion plate', 'fashion plate; female']",30
31,"['cups', 'saucers (plates)']",29
32,['bottles'],28
33,['samplers (embroidery)'],27
34,['archival materials'],27
35,"['stamp, butter']",26
36,['graphic arts'],25
37,['check'],25
38,['pitchers (vessels)'],25
39,['ladles'],24
40,"['mezzotints (prints)', 'prints']",24
41,['measure'],24
42,"['waistcoat; upper body; main dress; male', 'waistcoats (garments)']",24
43,['icon'],22
44,['sculpture'],22
45,['teapots'],21
46,['correspondence'],20
47,"['miniatures', 'paintings']",20
48,['spoons'],20
49,"['aquatints', 'prints']",19
50,['andiron'],19
51,['bill of exchange'],19
52,['documents'],18
53,"['medal; commemorative', 'medals']",17
54,['bowls (vessels)'],17
55,"['print; water color', 'prints']",17
56,"['note', 'bank note; 1780 05 05', 'bank note']",16
57,"['pipe; smoking equipment', 'pipes (smoking equipment)']",16
58,['maps'],16
59,"['etchings (prints)', 'prints']",15
60,['mugs'],15
61,['dishes (vessels)'],15
62,"['shoes, pair of; footwear; accessories worn on the body; female', 'shoes (footwear)']",15
63,"['dress, 1 piece', 'dress, 1 piece; entire body; main dress; female']",14
64,"['flatware', 'tongs']",14
65,"['syrup jar', 'jars']",13
66,['jugs (vessels)'],13
67,"['print; intaglio; etching', 'prints']",13
68,"['watches', 'watch; mechanical, spring driven; pocket watch']",13
69,"['print; intaglio; mezzotint', 'mezzotints (prints)', 'prints']",13
70,"['tinder box; fire making apparatus', 'tinderbox']",13
71,['porringer'],13
72,"['dishes (vessels)', 'plate']",13
73,"['flags', 'flag; military; army; streamer']",12
74,"['button, political']",12
75,['bows (weapons)'],12
76,"['caps (headgear)', 'cap; headwear; accessories worn on the body; female']",12
77,"['medal; presidential', 'medals']",11
78,"['note', 'bank note', 'bank note; 1778 09 26']",11
79,"['andirons', 'andiron']",11
80,"['bowl, sugar']",11
81,"['print; intaglio; engraving', 'prints']",11
